Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,9,6,00:00,UTC,0.1,-1,15.8,,20.1,11.5
2011,9,6,05:40,UTC,,,,7.2,,
2011,9,7,00:00,UTC,-1,-1,15.4,,18.8,13
2011,9,7,05:40,UTC,,,,10.5,,
2011,9,8,00:00,UTC,5.1,-1,14.6,,17,13.3
2011,9,8,05:40,UTC,,,,11.1,,
2011,9,9,00:00,UTC,-1,-1,14,,16.3,11.8
2011,9,9,05:40,UTC,,,,9,,
2011,9,10,00:00,UTC,-1,-1,13.5,,15.9,11.6
2011,9,10,05:40,UTC,,,,8.8,,
2011,9,11,00:00,UTC,-1,-1,11,,13.6,9.9
2011,9,11,05:40,UTC,,,,6.1,,
2011,9,12,00:00,UTC,2.1,-1,12.3,,16.6,7.6
2011,9,12,05:40,UTC,,,,4,,
2011,9,13,00:00,UTC,12.4,-1,14.2,,17.1,12.8
2011,9,13,05:40,UTC,,,,12.1,,
2011,9,14,00:00,UTC,18.9,-1,13.2,,14.8,12.3
2011,9,14,05:40,UTC,,,,11.8,,
2011,9,15,00:00,UTC,1.5,-1,13.3,,15.8,12.3
2011,9,15,05:40,UTC,,,,11.7,,
2011,9,16,00:00,UTC,0.5,-1,12.5,,14.9,11
2011,9,16,05:40,UTC,,,,9.6,,
2011,9,17,00:00,UTC,0.2,-1,10.1,,13.2,7.7
2011,9,17,05:40,UTC,,,,8.5,,
2011,9,18,00:00,UTC,-1,-1,7.8,,13.4,4.3
2011,9,18,05:40,UTC,,,,-0.2,,
2011,9,19,00:00,UTC,6.2,-1,9.6,,13.6,3.9
2011,9,19,05:40,UTC,,,,-0.3,,
2011,9,20,00:00,UTC,6.9,-1,11.2,,13.2,9.5
2011,9,20,05:40,UTC,,,,8.5,,
2011,9,21,00:00,UTC,11.8,-1,11.7,,13.8,10.8
2011,9,21,05:40,UTC,,,,9.9,,
2011,9,22,00:00,UTC,8.6,-1,10.3,,11.8,9.1
2011,9,22,05:40,UTC,,,,8.8,,
2011,9,23,00:00,UTC,5.3,-1,9.5,,12.6,6.7
2011,9,23,05:40,UTC,,,,3.3,,
2011,9,24,00:00,UTC,2.4,-1,8.5,,11.2,6.5
2011,9,24,05:40,UTC,,,,6,,
2011,9,25,00:00,UTC,-1,-1,7.9,,11,6.1
2011,9,25,05:40,UTC,,,,4.3,,
2011,9,26,00:00,UTC,4.8,-1,8.9,,13.2,5.3
2011,9,26,05:40,UTC,,,,1.9,,
2011,9,27,00:00,UTC,2.5,-1,11,,13,6.1
2011,9,27,05:40,UTC,,,,2,,
2011,9,28,00:00,UTC,0.5,-1,9.8,,12.9,8.6
2011,9,28,05:40,UTC,,,,7.4,,
2011,9,29,00:00,UTC,-1,-1,9.4,,11.4,7.3
2011,9,29,05:40,UTC,,,,4.4,,
2011,9,30,00:00,UTC,-1,-1,12.8,,16.5,9.2
2011,9,30,05:40,UTC,,,,8.7,,
2011,10,1,00:00,UTC,-1,-1,7.7,,11.5,5.5
2011,10,1,05:40,UTC,,,,5.3,,
2011,10,2,00:00,UTC,-1,-1,7.4,,11.1,1.8
2011,10,2,05:40,UTC,,,,-1.9,,
2011,10,3,00:00,UTC,-1,-1,7.1,,10.5,4.2
2011,10,3,05:40,UTC,,,,5.4,,
