Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,4,18,00:00,UTC,-1,23,4.3,,7.4,2.4
2011,4,19,00:00,UTC,-1,21,3.1,,7.5,0.5
2011,4,20,00:00,UTC,0.9,18,1.5,,7.5,-4.4
2011,4,21,00:00,UTC,-1,16,1.7,,4.1,0.7
2011,4,22,00:00,UTC,-1,13,2.6,,9,-3.4
2011,4,23,00:00,UTC,-1,10,5,,11.9,-1.7
2011,4,24,00:00,UTC,-1,0,7.2,,15.3,-1.8
2011,4,25,00:00,UTC,-1,-1,9,,16.7,2
2011,4,26,00:00,UTC,0.9,-1,9.6,,18.2,-0.8
2011,4,27,00:00,UTC,-1,-1,7.9,,12.8,3.8
2011,4,28,00:00,UTC,-1,-1,6.1,,12.5,-0.5
2011,4,29,00:00,UTC,-1,-1,6.9,,12.8,0.1
2011,4,30,00:00,UTC,0.2,-1,2.9,,7,-0.8
2011,5,1,00:00,UTC,-1,-1,2.8,,6.7,-2.4
2011,5,2,00:00,UTC,0.9,-1,1.2,,2.8,-0.2
2011,5,3,00:00,UTC,-1,-1,2.8,,6.3,-2
2011,5,4,00:00,UTC,1,-1,5.2,,9.7,0
2011,5,5,00:00,UTC,-1,-1,3.8,,7.5,2
2011,5,6,00:00,UTC,-1,-1,6.4,,10.4,2
2011,5,7,00:00,UTC,-1,-1,8.2,,15.1,1.3
2011,5,8,00:00,UTC,-1,-1,9.1,,16.8,0
2011,5,9,00:00,UTC,-1,-1,12.2,,19.7,1.3
2011,5,10,00:00,UTC,-1,-1,13.2,,16.9,11
2011,5,11,00:00,UTC,-1,-1,10.4,,16.5,1.5
2011,5,12,00:00,UTC,-1,-1,9.7,,14.4,7.9
2011,5,13,00:00,UTC,-1,-1,6.4,,12.1,0.7
2011,5,14,00:00,UTC,-1,-1,7.8,,13.4,-0.6
2011,5,15,00:00,UTC,-1,-1,9.6,,15.2,0.5
2011,5,16,00:00,UTC,4.5,-1,9.2,,13.5,3
2011,5,17,00:00,UTC,4.7,-1,8.9,,12.8,6.7
2011,5,18,00:00,UTC,8.3,-1,8.4,,11.1,5.7
2011,5,19,00:00,UTC,1.4,-1,8.9,,11.8,3.6
2011,5,20,00:00,UTC,-1,-1,12.6,,18.3,7.8
2011,5,21,00:00,UTC,-1,-1,12.7,,18.6,4.2
2011,5,22,00:00,UTC,-1,-1,14.4,,19.8,6.2
2011,5,23,00:00,UTC,1,-1,14.9,,20.4,9.1
2011,5,24,00:00,UTC,2,-1,13.7,,17.7,8.8
2011,5,25,00:00,UTC,-1,-1,11.1,,14.8,9.7
