Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,4,20,00:00,UTC,1.6,-1,0.3,,3.9,-3.9
2011,4,20,06:00,UTC,,,,,,
2011,4,21,00:00,UTC,-1,-1,1,,4.8,-1
2011,4,21,06:00,UTC,,,,,,
2011,4,22,00:00,UTC,-1,-1,3.7,,9.6,-2.6
2011,4,22,06:00,UTC,,,,,,
2011,4,23,00:00,UTC,-1,-1,4,,11,-2.7
2011,4,23,06:00,UTC,,,,,,
2011,4,24,00:00,UTC,-1,-1,4.3,,15.3,-4.3
2011,4,24,06:00,UTC,,,,,,
2011,4,25,00:00,UTC,-1,-1,7.7,,16.4,-3.6
2011,4,25,06:00,UTC,,,,,,
2011,4,26,00:00,UTC,-1,-1,5.6,,11.3,3.2
2011,4,26,06:00,UTC,,,,,,
2011,4,27,00:00,UTC,-1,-1,4.8,,10.1,0.2
2011,4,27,06:00,UTC,,,,,,
2011,4,28,00:00,UTC,-1,-1,4,,9.2,-2.3
2011,4,28,06:00,UTC,,,,,,
2011,4,29,00:00,UTC,-1,-1,6.2,,11.7,0
2011,4,29,06:00,UTC,,,,,,
2011,4,30,00:00,UTC,-1,-1,4.1,,7.4,-1
2011,4,30,06:00,UTC,,,,,,
2011,5,1,00:00,UTC,-1,-1,3.3,,7.6,-3.1
2011,5,1,06:00,UTC,,,,,,
2011,5,2,00:00,UTC,-1,-1,2.8,,6.2,-1
2011,5,2,06:00,UTC,,,,,,
2011,5,3,00:00,UTC,-1,-1,1.9,,4.8,-0.1
2011,5,3,06:00,UTC,,,,-2.1,,
2011,5,4,00:00,UTC,-1,-1,2.6,,6.5,-0.9
2011,5,4,06:00,UTC,,,,-3.5,,
2011,5,5,00:00,UTC,-1,-1,5.4,,10.6,-2.2
2011,5,5,06:00,UTC,,,,-7.6,,
2011,5,6,00:00,UTC,-1,-1,5.6,,11.2,0.7
2011,5,6,06:00,UTC,,,,-2.6,,
2011,5,7,00:00,UTC,0.3,-1,5.7,,10.7,-0.2
2011,5,7,06:00,UTC,,,,-4.7,,
2011,5,8,00:00,UTC,-1,-1,7.3,,12.6,-0.1
2011,5,8,06:00,UTC,,,,-4.9,,
2011,5,9,00:00,UTC,-1,-1,10.9,,17.8,3.3
2011,5,9,06:00,UTC,,,,-1.5,,
2011,5,10,00:00,UTC,-1,-1,7.2,,10.6,3.8
2011,5,10,06:00,UTC,,,,-1.4,,
2011,5,11,00:00,UTC,0.6,-1,8,,15.1,-2.4
2011,5,11,06:00,UTC,,,,-6.8,,
2011,5,12,00:00,UTC,-1,-1,10.7,,15,7.2
2011,5,12,06:00,UTC,,,,7.1,,
2011,5,13,00:00,UTC,-1,-1,8.4,,14.1,2.3
2011,5,13,06:00,UTC,,,,0.3,,
2011,5,14,00:00,UTC,-1,-1,8.4,,14.3,0.8
2011,5,14,06:00,UTC,,,,-2.5,,
2011,5,15,00:00,UTC,0,-1,10.1,,15.7,0.6
2011,5,15,06:00,UTC,,,,-5.5,,
2011,5,16,00:00,UTC,9,-1,10.4,,15.4,5.5
2011,5,16,06:00,UTC,,,,0.9,,
2011,5,17,00:00,UTC,0.5,-1,8.2,,12.3,5.5
2011,5,17,06:00,UTC,,,,5.5,,
2011,5,18,00:00,UTC,-1,-1,7,,11.4,3.3
2011,5,18,06:00,UTC,,,,-1.8,,
2011,5,19,00:00,UTC,6.4,-1,7.6,,11.9,1.3
2011,5,19,06:00,UTC,,,,0.1,,
2011,5,20,00:00,UTC,-1,-1,10,,15.1,2.1
2011,5,20,06:00,UTC,,,,-2.3,,
2011,5,21,00:00,UTC,-1,-1,10.4,,18.4,2.9
